ObjectName,Thickness_m_,Density_kg_m__,Thermal_Conductivity_W_m_K_,Specific_Heat_Capacity_J_kg_K_,Emissivity,Infrared_Reflectivity,Porosity,Solar_Absorptance,Solar_Reflectance,Area,Mass,Material_type,Wind_Speed,Sun_Exposure,Temperature,Humidity,FinalWallTemperature_C
ac_exhaust009,0.2,2700,167,896,0.05,0.9,NaN,0.1,0.9,0.25,0.05,metal,6.1944,100,35,64,33.8023952095808
ac_exhaust010,0.2,2700,167,896,0.05,0.9,NaN,0.1,0.9,0.25,0.05,metal,6.1944,100,35,64,33.8023952095808
ac_exhaust011,0.2,2700,167,896,0.05,0.9,NaN,0.1,0.9,0.25,0.05,metal,6.1944,100,35,64,33.8023952095808
ac_exhaust012,0.2,2700,167,896,0.05,0.9,NaN,0.1,0.9,0.25,0.05,metal,6.1944,100,35,64,33.8023952095808
ac_exhaust013,0.2,2700,167,896,0.05,0.9,NaN,0.1,0.9,0.25,0.05,metal,6.1944,100,35,64,33.8023952095808
ac_exhaust014,0.2,2700,167,896,0.05,0.9,NaN,0.1,0.9,0.25,0.05,metal,6.1944,99.1,35,64,33.8131736526946
ac_exhaust015,0.2,2700,167,896,0.05,0.9,NaN,0.1,0.9,0.25,0.05,metal,6.1944,99.7,35,64,33.8059880239521
Brown_Cement_Wall-front_back001,0.02,2400,1.8,900,0.85,0.2,0.119999997317791,0.8,0.2,276,5.52,concrete,6.1944,12.6,35,64,33.6
Brown_Cement_Wall-left_right001,0.02,2400,1.8,900,0.85,0.15,0.119999997317791,0.8,0.2,196,3.92,concrete,6.1944,73.1,35,64,26.8777777777778
Brown_Cement_Wall-top001,0.02,2400,1.8,900,0.85,0.15,0.119999997317791,0.8,0.2,300,6,concrete,6.1944,70.8,35,64,27.1333333333333
concrete_wall_base002,0.25,2400,1.8,900,0.9,0.2,12,0.75,0.1,87.5,21.875,concrete,6.1944,18.8,35,64,8.88888888888886
concrete_wall_base003,0.25,2400,1.8,900,0.9,0.2,12,0.75,0.1,16.9,4.225,concrete,6.1944,25,35,64,0.277777777777771
window_frame008,0.025,2700,278,900,0.1,0.85,NaN,0.15,0.9,0.115,0.002875,steel,6.1944,57.4,35,64,34.9483812949641
window_glass008,0.004,2230,1.12,830,0.88,0.12,NaN,0.88,0.08,0.26,0.00104,glass,6.1944,0,35,64,35
window_frame009,0.025,2700,218,900,0.1,0.85,NaN,0.15,0.9,0.115,0.002875,steel,6.1944,55.7,35,64,34.936123853211
window_glass009,0.004,2230,1.12,830,0.88,0.12,NaN,0.88,0.08,0.26,0.00104,glass,6.1944,0,35,64,35
window_frame010,0.025,2700,218,900,0.1,0.85,NaN,0.15,0.9,0.115,0.002875,steel,6.1944,56.6,35,64,34.9350917431193
window_glass010,0.004,2230,1.12,830,0.88,0.12,NaN,0.88,0.08,0.26,0.00104,glass,6.1944,0,35,64,35
window_frame011,0.025,2700,218,900,0.1,0.85,NaN,0.15,0.9,0.115,0.002875,steel,6.1944,56.6,35,64,34.9350917431193
window_glass011,0.004,2230,1.12,830,0.88,0.12,NaN,0.88,0.08,0.26,0.00104,glass,6.1944,0,35,64,35
window_frame012,0.025,2700,218,900,0.1,0.85,NaN,0.15,0.9,0.115,0.002875,steel,6.1944,56.6,35,64,34.9350917431193
window_glass012,0.004,2230,1.12,830,0.88,0.12,NaN,0.88,0.08,0.26,0.00104,glass,6.1944,0,35,64,35
window_frame013,0.025,2700,218,900,0.1,0.85,NaN,0.15,0.9,0.115,0.002875,steel,6.1944,56.6,35,64,34.9350917431193
window_glass013,0.004,2230,1.12,830,0.88,0.12,NaN,0.88,0.08,0.26,0.00104,glass,6.1944,0,35,64,35
window_frame014,0.025,2700,218,900,0.1,0.85,NaN,0.15,0.9,0.115,0.002875,steel,6.1944,54.1,35,64,34.9379587155964
window_glass014,0.004,2230,1.12,830,0.88,0.12,NaN,0.88,0.08,0.26,0.00104,glass,6.1944,0,35,64,35
window_frame015,0.025,2700,218,900,0.1,0.85,NaN,0.15,0.9,0.115,0.002875,steel,6.1944,71.3,35,64,34.9182339449541
window_glass015,0.004,2230,1.12,830,0.88,0.12,NaN,0.88,0.08,0.26,0.00104,glass,6.1944,0,35,64,35
air_wents004,0.03,2700,218,900,0.1,0.85,NaN,0.15,0.9,0.26,0.0078,steel,6.1944,71.2,35,64,34.9020183486239
air_wents005,0.03,2700,218,900,0.1,0.85,NaN,0.15,0.9,0.26,0.0078,steel,6.1944,63.5,35,64,34.9126146788991
air_wents006,0.03,2700,218,900,0.1,0.85,NaN,0.15,0.9,0.26,0.0078,steel,6.1944,63.5,35,64,34.9126146788991
air_wents007,0.03,2700,218,900,0.1,0.85,NaN,0.15,0.9,0.26,0.0078,steel,6.1944,63.5,35,64,34.9126146788991
Steel_door001,0.03,7800,50,550,0.3,0.7,NaN,0.55,0.45,1.5,0.045,metal,6.1944,74.2,35,64,34.5548
ladder006,0.035,2700,200,900,0.1,0.85,NaN,0.15,0.9,0.2,0.00175,steel,6.1944,96.6,35,64,34.83095
ladder007,0.035,2700,200,900,0.1,0.85,NaN,0.15,0.9,0.2,0.00175,steel,6.1944,96.8,35,64,34.8306
ladder008,0.035,2700,200,900,0.1,0.85,NaN,0.15,0.9,0.2,0.00175,steel,6.1944,98.5,35,64,34.827625
ladder009,0.035,2700,200,900,0.1,0.85,NaN,0.15,0.9,0.2,0.00175,steel,6.1944,92.1,35,64,34.838825
ladder010,0.035,2700,200,900,0.1,0.85,NaN,0.15,0.9,0.2,0.00175,steel,6.1944,98.3,35,64,34.827975
ladder011,0.035,2700,200,900,0.1,0.85,NaN,0.15,0.9,0.2,0.00175,steel,6.1944,96.6,35,64,34.83095
AAC_Floor001,0.3,1000,300,1000,0.88,0.6,75,0.6,0.5,439.5,131.850006,asphalt,6.1944,100,35,64,34
